점포명,주소,전화번호,비고,예약 가능 여부,운영 시간,latitude,longitude
리저브도산,서울특별시 강남구 선릉로155길 23 (신사동),1522-3232,리저브 매장 2번,True,[URL],37.5255757873904,127.037747378589
압구정역사3번출구,서울특별시 강남구 논현로 854 (신사동),1522-3232,리저브 매장 2번,False,09:30 - 21:00,37.5253215967063,127.028865132152
청담역,서울특별시 강남구 삼성로 709 (청담동),1522-3232,리저브 매장 2번,True,07:00 - 22:00,37.5194245244032,127.049528556494
압구정현대아파트,서울특별시 강남구 논현로175길 38 (신사동),1522-3232,리저브 매장 2번,False,10:00 - 21:00,37.5251917145917,127.025552252461
강남청담빌딩,서울특별시 강남구 선릉로 704 (청담동),1522-3232,리저브 매장 2번,True,08:30 - 23:00,37.5178019769365,127.041389319517
역삼이마트,서울특별시 강남구 역삼로 310 (역삼동),1522-3232,리저브 매장 2번,False,09:00 - 21:30,37.4992355425931,127.048420861876
케이스퀘어강남,서울특별시 강남구 강남대로94길 10 (역삼동)...,1522-3232,리저브 매장 2번,True,07:30 - 20:30,37.4991963225538,127.028227205943
강남세곡DT,서울특별시 강남구 헌릉로 727 (세곡동),1522-3232,리저브 매장 2번,True,10:00 - 23:00,37.466993809277,127.118330806807
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),1522-3232,리저브 매장 2번,False,08:00 - 22:00,37.6183899941147,127.021123478902
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),1522-3232,리저브 매장 2번,True,[URL],37.6400141810051,127.027385316418
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),1522-3232,리저브 매장 2번,False,09:30 - 20:00,37.6118468027305,127.030708756258
수유역,서울특별시 강북구 도봉로 342 (번동),1522-3232,리저브 매장 2번,True,07:00 - 23:00,37.6380345518337,127.026128675843
미아역,서울특별시 강북구 도봉로 196 (미아동),1522-3232,리저브 매장 2번,True,10:00 - 21:00,37.6261436910197,127.026574236378
수유역5번출구,"서울특별시 강북구 도봉로 315 (수유동, 에피소드 수유 838)...",1522-3232,리저브 매장 2번,False,08:30 - 22:00,37.6369305402999,127.02328159303
서울안토,서울특별시 강북구 삼양로 689 (우이동) 지하1층...,1522-3232,리저브 매장 2번,True,09:00 - 21:30,37.6649474833411,127.007680218158
발산역사거리,서울특별시 강서구 공항대로 248 (마곡동),1522-3232,리저브 매장 2번,False,[URL],37.5584038640061,126.834893863585
마곡역,서울특별시 강서구 공항대로 168 (마곡동),1522-3232,리저브 매장 2번,True,07:30 - 20:00,37.5592736391913,126.826136981493
우장산역,서울특별시 강서구 강서로 267 (내발산동),1522-3232,리저브 매장 2번,True,10:00 - 23:00,37.5496000614643,126.835941270275
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),1522-3232,리저브 매장 2번,False,08:00 - 22:00,37.5605537644679,126.833890184435
방화DT,서울특별시 강서구 방화대로 375 (방화동),1522-3232,리저브 매장 2번,True,09:30 - 21:00,37.5744541532234,126.816386022206
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동)...,1522-3232,리저브 매장 2번,False,07:00 - 20:00,37.5680581740122,126.825960812712
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호...",1522-3232,리저브 매장 2번,True,10:00 - 23:00,,
가양역,서울특별시 강서구 양천로 476 (등촌동),1522-3232,리저브 매장 2번,False,08:30 - 21:30,37.5616001805127,126.853271958466
화곡DT,서울특별시 강서구 등촌로 57 (화곡동),1522-3232,리저브 매장 2번,True,09:00 - 20:00,37.5350125900994,126.863143013828
화곡동,서울특별시 강서구 화곡로 142(화곡동),1522-3232,리저브 매장 2번,False,07:30 - 22:00,37.5405665780291,126.837581836675
염창역,서울특별시 강서구 공항대로 627 (염창동),1522-3232,리저브 매장 2번,True,10:00 - 21:00,37.5472872158845,126.874538741651
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트...,1522-3232,리저브 매장 2번,False,08:00 - 23:00,37.5601872593484,126.839308151992
까치산역,서울특별시 강서구 강서로13길 3 (화곡동),1522-3232,리저브 매장 2번,True,[URL],37.5322957492562,126.846047920456
마곡코엑스,서울특별시 강서구 마곡중앙로 143 (마곡동),1522-3232,리저브 매장 2번,True,09:30 - 22:30,37.5647750742195,126.825252880539
염창대로,"서울특별시 강서구 양천로 744 (염창동), 101호...",1522-3232,리저브 매장 2번,False,07:00 - 21:30,37.5485598927684,126.878256045999
발산역5번출구,"서울특별시 강서구 강서로52길 43 (내발산동, DH647), 1층 일부...",1522-3232,리저브 매장 2번,True,10:00 - 22:00,37.5579923234822,126.840556795103
양천향교역,서울특별시 강서구 양천로 344 (마곡동),1522-3232,리저브 매장 2번,False,08:30 - 20:30,37.5682660192783,126.840359563104
화곡역8번출구,"서울특별시 강서구 강서로 179 (화곡동), 1층 일부...",1522-3232,리저브 매장 2번,True,09:00 - 23:00,37.5423627575293,126.839322200876
강서우장산,"서울특별시 강서구 강서로 231 (화곡동, 우장산역 해링턴 타워), 116/117/118/119/...",1522-3232,리저브 매장 2번,False,07:30 - 21:00,,
등촌대로,"서울특별시 강서구 공항대로 543 (염창동, 센터스퀘어)...",1522-3232,리저브 매장 2번,True,10:00 - 22:00,37.5507388549618,126.866412265444
마곡보타닉게이트,"서울특별시 강서구 마곡동로 166 (마곡동) 106호,107호,108호...",1522-3232,리저브 매장 2번,False,08:00 - 20:00,37.5690918473471,126.836784043269
